id,dupe_flag
100005962,TRUE
100005994,TRUE
100005996,TRUE
100006000,TRUE
100006002,TRUE
100006052,TRUE
100006054,TRUE
100006060,TRUE
100006064,TRUE
100006084,TRUE
100006086,TRUE
100006094,TRUE
100006100,TRUE
100006104,TRUE
100006114,TRUE
100006116,TRUE
100006154,TRUE
100006156,TRUE
100006160,TRUE
100006162,TRUE
100006178,TRUE
100006180,TRUE
100006194,TRUE
100006196,TRUE
100006202,TRUE
100006204,TRUE
100006354,TRUE
100006356,TRUE
100006358,TRUE
100006366,TRUE
100006372,TRUE
100006374,TRUE
100006384,TRUE
100006386,TRUE
100006474,TRUE
100006476,TRUE
100006482,TRUE
100006484,TRUE
100006486,TRUE
100006506,TRUE
100006508,TRUE
100006524,TRUE
100006526,TRUE
100006596,TRUE
100006598,TRUE
100006611,TRUE
100006612,TRUE
100006613,TRUE
100006614,TRUE
100006722,TRUE
100006724,TRUE
100006732,TRUE
100006736,TRUE
100006744,TRUE
100006748,TRUE
100009374,TRUE
100009376,TRUE
100009820,TRUE
100009842,TRUE
100009848,TRUE
100009899,TRUE
100009919,TRUE
100010522,TRUE
100010564,TRUE
100010606,TRUE
100010618,TRUE
100011212,TRUE
100011631,TRUE
100011967,TRUE
100012041,TRUE
100012092,TRUE
100012224,TRUE
100012322,TRUE
100012690,TRUE
100013030,TRUE
100013032,TRUE
100013834,TRUE
100013984,TRUE
100014604,TRUE
100014618,TRUE
100014767,TRUE
100015261,TRUE
100015268,TRUE
100015533,TRUE
100015542,TRUE
100015572,TRUE
100015669,TRUE
100016036,TRUE
100016058,TRUE
100016103,TRUE
100016359,TRUE
100016442,TRUE
100016682,TRUE
100016695,TRUE
100016760,TRUE
100017145,TRUE
100017188,TRUE
100017866,TRUE
100017868,TRUE
100017924,TRUE
100017930,TRUE
100017932,TRUE
100017933,TRUE
100017936,TRUE
100017939,TRUE
100017943,TRUE
100017945,TRUE
100017948,TRUE
100017949,TRUE
100017950,TRUE
100017977,TRUE
100017978,TRUE
100018016,TRUE
100018017,TRUE
100018019,TRUE
100018028,TRUE
100018029,TRUE
