ANYWHERE
INFO PENDING
INFO REQUESTED
INFORMATION REQUESTED
INTERNET
IR
N A
N/A
NA
NO INFORMATION GIVEN
NON REPORTABLE
NONE
NONE GIVE
NONE GIVEN
NOT APPLICABLE
NOT AVAILABLE
NOT GIVEN
NOT KNOWN
NOT PROVIDED
NOT REQUIRED
NOT STATED
NOT SURE
NOTAPPLICABLE
NULL
ON LINE
ONLINE
ONLINE COMPANY
ONLINE SERVICE
PENDING
PO BOX
P O BOX
REQUESTED
REQUESTED INFO
REQUESTED INFORMATION
SOMEWHERE
TEST
TO FIND OUT
UNK
UNKNOWN CITY
UNKOWN
VARIOUS
WEB
WEBSITE
WWW
VIRTUAL
XXX
XXXX
XXXXX
XXXXXX
