FY2012_trim_3.csv,2012,city,0.9583,9965,5e-4,41670,1886
FY2012_trim_4.csv,2012,state,1,59,0.042,0,1
FY2012_trim_4.csv,2012,zip,0.9706,10578,0.0078,3684,707
FY2012_trim_4.csv,2012,place,0.98,9122,0.0997,2277,156
FY2012_trim_4.csv,2012,city,0.9574,5440,3e-4,5374,642
FY2013_trim_1.csv,2013,state,1,61,0.0406,0,1
FY2013_trim_1.csv,2013,zip,0.9734,19608,0.007,26390,2772
FY2013_trim_1.csv,2013,place,0.995,17829,0.151,4230,546
FY2013_trim_1.csv,2013,city,0.9604,10405,5e-4,39544,2131
FY2013_trim_2.csv,2013,state,1,61,0.0432,0,1
FY2013_trim_2.csv,2013,zip,0.9698,19278,0.0064,29999,2606
FY2013_trim_2.csv,2013,place,0.9916,17343,0.1566,7051,652
FY2013_trim_2.csv,2013,city,0.9575,10234,4e-4,42491,1980
FY2013_trim_3.csv,2013,state,1,61,0.05,0,1
FY2013_trim_3.csv,2013,zip,0.9654,16285,0.0085,17572,1865
FY2013_trim_3.csv,2013,place,0.9902,14648,0.1483,4283,426
FY2013_trim_3.csv,2013,city,0.9511,8598,3e-4,25008,1501
FY2014_trim_1.csv,2014,state,1,60,0.0372,0,1
FY2014_trim_1.csv,2014,zip,0.9796,19460,0.0099,20155,2735
FY2014_trim_1.csv,2014,place,0.9968,17577,0.1403,2724,444
FY2014_trim_1.csv,2014,city,0.9642,10410,2e-4,35751,2133
FY2014_trim_2.csv,2014,state,1,59,0.0403,0,1
FY2014_trim_2.csv,2014,zip,0.98,18851,0.0135,19757,2455
FY2014_trim_2.csv,2014,place,0.9959,17008,0.1549,3472,464
FY2014_trim_2.csv,2014,city,0.9605,10121,2e-4,39517,1934
FY2014_trim_3.csv,2014,state,1,61,0.0451,0,1
FY2014_trim_3.csv,2014,zip,0.9768,15958,0.0148,12064,1775
FY2014_trim_3.csv,2014,place,0.9944,14261,0.1574,2477,303
FY2014_trim_3.csv,2014,city,0.956,8446,3e-4,23162,1466
FY2015_trim_1.csv,2015,state,1,60,0.0312,0,1
FY2015_trim_1.csv,2015,zip,0.9846,17752,0.009,15213,2350
FY2015_trim_1.csv,2015,place,0.9975,15995,0.096,2279,311
FY2015_trim_1.csv,2015,city,0.9692,9571,1e-4,30751,1926
FY2015_trim_2.csv,2015,state,1,59,0.0312,0,1
FY2015_trim_2.csv,2015,zip,0.9858,16759,0.0104,14046,2037
FY2015_trim_2.csv,2015,place,0.9972,15112,0.0966,2497,319
FY2015_trim_2.csv,2015,city,0.9691,9024,1e-4,30898,1680
FY2015_trim_3.csv,2015,state,1,60,0.03,0,1
FY2015_trim_3.csv,2015,zip,0.9857,16492,0.0097,14175,1943
FY2015_trim_3.csv,2015,place,0.9973,14458,0.0929,2429,300
FY2015_trim_3.csv,2015,city,0.9702,8753,1e-4,29831,1577
FY2015_trim_4.csv,2015,state,1,60,0.0414,0,1
FY2015_trim_4.csv,2015,zip,0.9789,15947,0.0146,20819,1792
FY2015_trim_4.csv,2015,place,0.9973,14285,0.0979,2460,306
FY2015_trim_4.csv,2015,city,0.959,8414,1e-4,41031,1477
FY2015_trim_5.csv,2015,state,1,59,0.0427,0,1
FY2015_trim_5.csv,2015,zip,0.9783,12263,0.016,7968,1000
FY2015_trim_5.csv,2015,place,0.9974,10729,0.0975,874,143
FY2015_trim_5.csv,2015,city,0.9585,6406,1e-4,15476,920
FY2016_trim_1.csv,2016,state,1,60,0.0366,0,1
FY2016_trim_1.csv,2016,zip,0.9816,16945,0.0126,18188,2155
FY2016_trim_1.csv,2016,place,0.9958,15194,0.0897,3816,484
FY2016_trim_1.csv,2016,city,0.964,9047,1e-4,35984,1750
FY2016_trim_2.csv,2016,state,1,59,0.0354,0,1
FY2016_trim_2.csv,2016,zip,0.9822,16927,0.0123,17618,2098
FY2016_trim_2.csv,2016,place,0.9961,15169,0.0872,3560,471
FY2016_trim_2.csv,2016,city,0.9652,9013,1e-4,34816,1683
FY2016_trim_3.csv,2016,state,1,60,0.0361,0,1
FY2016_trim_3.csv,2016,zip,0.9818,16959,0.0123,17970,2084
FY2016_trim_3.csv,2016,place,0.9958,15325,0.0896,3788,476
FY2016_trim_3.csv,2016,city,0.9646,9080,1e-4,35403,1725
FY2016_trim_4.csv,2016,state,1,60,0.0358,0,1
